,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,state of Sold-To Party
1146,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-05-29,1.0,BOX,V305,38774,Beaufort WTP,sa
1152,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05-16,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1161,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-05-03,1.0,BOX,V305,54051,Pickering Transport,sa
1164,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-04-18,1.0,BOX,V305,38774,Beaufort WTP,sa
1169,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-04-05,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1173,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-03-15,2.0,BOX,V305,38774,Beaufort WTP,sa
1184,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-02-21,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1185,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-02-21,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1186,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-02-18,1.0,BOX,V305,38774,Beaufort WTP,sa
1187,52856,Waternish Constructions Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-02-15,1.0,BOX,V305,54868,Waternish Construction Olive Grove,sa
1189,41375,Terramin Australia Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-02-11,2.0,BOX,V305,54871,Angas Zinc Mine - Terramin Aust,sa
1192,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-01-31,1.0,BOX,V305,38774,Beaufort WTP,sa
1198,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-01-14,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1200,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2013-01-11,1.0,BOX,V305,38774,Beaufort WTP,sa
1207,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-12-24,1.0,BOX,V305,38774,Beaufort WTP,sa
1211,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-12-18,1.0,BOX,V305,54051,Pickering Transport,sa
1212,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-12-14,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1219,21193,Veolia Water Services (ANZ) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-11-20,2.0,BOX,V305,38774,Beaufort WTP,sa
1222,49754,District Council of Yankalilla,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-11-08,1.0,BOX,V305,49754,District Council of Yankalilla,sa
1224,54005,Agri Business Supplies Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L IBC,2012-10-31,1.0,BOX,V305,54051,Pickering Transport,sa
